Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR25266122_trim.1	71.30763286683266	44.0	135.8298789387825	18.181818181818183	58235.0
SRR25266122_trim.2	69.7673220571821	44.0	135.33706533871384	27.27272727272727	58235.0
SRR25266123_trim.1	49.15992057430885	44.0	133.93256453337406	18.181818181818183	13094.0
SRR25266123_trim.2	43.004429509699094	44.0	131.70482663815488	18.181818181818183	13094.0
SRR25266124_trim.1	50.05779484693687	44.0	125.16231030239756	9.090909090909092	26819.0
SRR25266124_trim.2	44.17763525858533	44.0	123.14008725157538	9.090909090909092	26819.0
SRR25266125_trim.1	63.69525844053314	44.0	130.2488273812288	9.090909090909092	43066.0
SRR25266125_trim.2	62.833789996749175	44.0	129.76861096921004	18.181818181818183	43066.0
SRR25266126_trim.1	68.32350463352991	44.0	134.02822240943556	27.27272727272727	40358.0
SRR25266126_trim.2	66.80459884037862	44.0	133.4145646464146	27.27272727272727	40358.0
SRR25266127_trim.1	66.74700408381871	44.0	134.29044207895382	27.27272727272727	44811.0
SRR25266127_trim.2	65.29646738524023	44.0	133.79498337461783	27.27272727272727	44811.0
SRR25266128_trim.1	44.50156739811912	43.0	131.12501567398118	9.090909090909092	7975.0
SRR25266128_trim.2	43.974921630094045	43.0	130.7228840125392	9.090909090909092	7975.0
SRR25266129_trim.1	58.95039135086435	45.0	136.45644461962948	27.27272727272727	17759.0
SRR25266129_trim.2	56.37141730953319	45.0	135.43341404358353	27.27272727272727	17759.0
SRR25266130_trim.1	53.79018309775154	45.0	133.27136637442595	27.27272727272727	16767.0
SRR25266130_trim.2	52.75839446531878	45.0	132.9307568438003	27.27272727272727	16767.0
SRR25266131_trim.1	66.2459355601537	44.0	136.88530889742833	27.27272727272727	33830.0
SRR25266131_trim.2	64.29796039018623	44.0	136.04203369790127	18.181818181818183	33830.0
SRR25266132_trim.1	39.90209471766849	43.0	133.86680327868854	0.0	8784.0
SRR25266132_trim.2	39.41256830601093	43.0	133.53403916211292	9.090909090909092	8784.0
SRR25266133_trim.1	61.08757829187937	44.0	137.81068752036495	18.181818181818183	27621.0
SRR25266133_trim.2	59.44752181311321	44.0	137.1958292603454	27.27272727272727	27621.0
SRR25266134_trim.1	51.10457664178542	44.0	133.3972706024278	27.27272727272727	13263.0
SRR25266134_trim.2	51.2402925431652	44.0	133.15207720726835	27.27272727272727	13263.0
SRR25266135_trim.1	53.402396912451756	46.0	132.2015031484867	18.181818181818183	9846.0
SRR25266135_trim.2	52.925045703839125	46.0	131.86715417428397	27.27272727272727	9846.0
SRR25266136_trim.1	78.47866052543144	45.0	136.57922984165893	27.27272727272727	101174.0
SRR25266136_trim.2	76.01854231324253	45.0	135.79103326941706	27.27272727272727	101174.0
SRR25266137_trim.1	61.767842181430424	45.0	132.82203518927565	27.27272727272727	26258.0
SRR25266137_trim.2	61.0632949958108	45.0	132.52345951709955	27.27272727272727	26258.0
SRR25266138_trim.1	38.80018458698662	44.0	131.3439778495616	9.090909090909092	10835.0
SRR25266138_trim.2	33.41024457775727	44.0	128.904937701892	9.090909090909092	10835.0
SRR25266139_trim.1	54.335782247380465	44.0	131.41135734072023	27.27272727272727	16606.0
SRR25266139_trim.2	53.251836685535345	44.0	131.24153920269782	18.181818181818183	16606.0
SRR25266140_trim.1	64.60256028579934	44.0	134.36129800535875	27.27272727272727	33590.0
SRR25266140_trim.2	63.21226555522477	44.0	133.83584400119082	27.27272727272727	33590.0
SRR25266141_trim.1	53.48837209302326	43.0	130.87470663537445	18.181818181818183	18748.0
SRR25266141_trim.2	39.433539577554946	44.0	125.48575848090464	9.090909090909092	18748.0
SRR25266142_trim.1	68.7494377777378	44.0	134.91724088300379	18.181818181818183	55583.0
SRR25266142_trim.2	67.50085457783854	44.0	134.37761545796377	18.181818181818183	55583.0
SRR25266143_trim.1	60.763699905468506	44.0	135.89343722249276	18.181818181818183	34909.0
SRR25266143_trim.2	59.37437337076399	44.0	135.47397519264373	18.181818181818183	34909.0
