Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR25266125_trim.1	SRR25266125_trim.1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43066.0	0.0	45-151	44.0	36.30474155946686	130.2488273812288	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
SRR25266125_trim.2	SRR25266125_trim.2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43066.0	0.0	45-151	44.0	37.166210003250825	129.76861096921004	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR25266126_trim.1	SRR25266126_trim.1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40358.0	0.0	45-151	44.0	31.676495366470093	134.02822240943556	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266126_trim.2	SRR25266126_trim.2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40358.0	0.0	45-151	44.0	33.19540115962139	133.4145646464146	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266127_trim.1	SRR25266127_trim.1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44811.0	0.0	45-151	44.0	33.25299591618129	134.29044207895382	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266127_trim.2	SRR25266127_trim.2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44811.0	0.0	45-151	44.0	34.703532614759766	133.79498337461783	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266128_trim.1	SRR25266128_trim.1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7975.0	0.0	45-151	43.0	55.49843260188088	131.12501567398118	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR25266128_trim.2	SRR25266128_trim.2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7975.0	0.0	45-151	43.0	56.025078369905955	130.7228840125392	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR25266129_trim.1	SRR25266129_trim.1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17759.0	0.0	45-151	45.0	41.04960864913565	136.45644461962948	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266129_trim.2	SRR25266129_trim.2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17759.0	0.0	45-151	45.0	43.62858269046681	135.43341404358353	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266130_trim.1	SRR25266130_trim.1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16767.0	0.0	45-151	45.0	46.20981690224846	133.27136637442595	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266130_trim.2	SRR25266130_trim.2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16767.0	0.0	45-151	45.0	47.24160553468122	132.9307568438003	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266131_trim.1	SRR25266131_trim.1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33830.0	0.0	45-151	44.0	33.754064439846296	136.88530889742833	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266131_trim.2	SRR25266131_trim.2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33830.0	0.0	45-151	44.0	35.702039609813774	136.04203369790127	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR25266132_trim.1	SRR25266132_trim.1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8784.0	0.0	45-151	43.0	60.09790528233151	133.86680327868854	pass	pass	pass	pass	warn	warn	pass	warn	warn	warn	pass
SRR25266132_trim.2	SRR25266132_trim.2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8784.0	0.0	45-151	43.0	60.58743169398907	133.53403916211292	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR25266133_trim.1	SRR25266133_trim.1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27621.0	0.0	45-151	44.0	38.91242170812063	137.81068752036495	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR25266133_trim.2	SRR25266133_trim.2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27621.0	0.0	45-151	44.0	40.55247818688679	137.1958292603454	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266134_trim.1	SRR25266134_trim.1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13263.0	0.0	45-151	44.0	48.89542335821458	133.3972706024278	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266134_trim.2	SRR25266134_trim.2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13263.0	0.0	45-151	44.0	48.7597074568348	133.15207720726835	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266135_trim.1	SRR25266135_trim.1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9846.0	0.0	45-151	46.0	46.597603087548244	132.2015031484867	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR25266135_trim.2	SRR25266135_trim.2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9846.0	0.0	45-151	46.0	47.074954296160875	131.86715417428397	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266136_trim.1	SRR25266136_trim.1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101174.0	0.0	45-151	45.0	21.521339474568567	136.57922984165893	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266136_trim.2	SRR25266136_trim.2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101174.0	0.0	45-151	45.0	23.98145768675747	135.79103326941706	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
