Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
SRR25266132	17568.0	0.0	17568.0	1.0	8784.0	8784.0	930.0	930.0	16638.0	928.0	17568.0	14.0	0.0	0.0	0.0	0.0	2348079.0	1175451.0	1172628.0	124403.0	123057.0	0.0	1742.0	98.0	0.0007963789	133.0	134.0	133.0	151.0	151.0	151.0	37.4	243.6	153.3	386.0	79.0	0.0	0.0	5.3	5.293715846994536	5.293715846994536	94.70628415300546	5.2823315118397085	100.0	0.07969034608378871	0.0	0.0
SRR25266133	55242.0	0.0	55242.0	1.0	27621.0	27621.0	4347.0	4346.0	50895.0	4340.0	55242.0	180.0	0.0	0.0	0.0	7.0	7594023.0	3805461.0	3788562.0	601266.0	595366.0	0.0	24256.0	834.0	0.001400819	137.0	138.0	137.0	151.0	151.0	151.0	37.3	282.2	172.5	1908.0	265.0	0.0	0.0	7.9	7.869012707722385	7.867202490858405	92.13098729227761	7.856341189674524	100.0	0.3258390355164549	0.0	0.0
SRR25266134	26526.0	0.0	26526.0	1.0	13263.0	13263.0	1087.0	1086.0	25439.0	1086.0	26526.0	8.0	0.0	0.0	0.0	0.0	3534544.0	1768907.0	1765637.0	144363.0	142001.0	0.0	1069.0	188.0	0.001323934	133.0	133.0	133.0	151.0	151.0	151.0	37.3	239.8	153.1	441.0	102.0	0.0	0.0	4.1	4.097866244439418	4.094096358289979	95.90213375556058	4.094096358289979	100.0	0.030159089195506295	0.0	0.0
SRR25266135	19692.0	0.0	19692.0	1.0	9846.0	9846.0	634.0	634.0	19058.0	634.0	19692.0	2.0	0.0	0.0	0.0	0.0	2600052.0	1301681.0	1298371.0	86117.0	85659.0	0.0	301.0	80.0	0.0009339357	132.0	132.0	132.0	151.0	151.0	151.0	37.3	242.9	142.5	268.0	49.0	0.0	0.0	3.2	3.219581555961812	3.219581555961812	96.78041844403819	3.219581555961812	100.0	0.010156408693885842	0.0	0.0
SRR25266136	202348.0	0.0	202348.0	1.0	101174.0	101174.0	7151.0	7150.0	195197.0	7142.0	202348.0	388.0	0.0	0.0	0.0	6.0	27553246.0	13816449.0	13736797.0	986629.0	976942.0	0.0	53038.0	1212.0	0.001240606	136.0	137.0	136.0	151.0	151.0	151.0	37.2	290.3	177.6	3124.0	448.0	3.0	0.0	3.5	3.534010714215115	3.533516516100975	96.46598928578489	3.5295629311878547	100.0	0.1917488682863186	0.0	0.0
SRR25266137	52516.0	0.0	52516.0	1.0	26258.0	26258.0	2246.0	2246.0	50270.0	2242.0	52516.0	64.0	0.0	0.0	0.0	0.0	6965917.0	3486995.0	3478922.0	301750.0	297859.0	0.0	7828.0	325.0	0.00109112	132.0	133.0	132.0	151.0	151.0	151.0	37.4	242.0	150.5	947.0	176.0	0.0	0.0	4.3	4.276791834869373	4.276791834869373	95.72320816513063	4.26917510853835	100.0	0.12186762129636683	0.0	0.0
SRR25266138	21670.0	0.0	21670.0	1.0	10835.0	10835.0	1523.0	1522.0	20147.0	1522.0	21670.0	36.0	0.0	0.0	0.0	0.0	2818657.0	1422547.0	1396110.0	200976.0	197621.0	0.0	4732.0	675.0	0.003415629	130.0	131.0	129.0	151.0	151.0	151.0	35.2	212.8	119.4	626.0	135.0	0.0	0.0	7.0	7.028149515459161	7.023534840793724	92.97185048454084	7.023534840793724	100.0	0.16612828795569912	0.0	0.0
SRR25266139	33212.0	0.0	33212.0	1.0	16606.0	16606.0	966.0	966.0	32246.0	964.0	33212.0	12.0	0.0	0.0	0.0	4.0	4360738.0	2181781.0	2178957.0	131882.0	130608.0	0.0	1639.0	156.0	0.001194414	131.0	131.0	131.0	151.0	151.0	151.0	37.4	259.6	161.7	417.0	66.0	0.0	0.0	2.9	2.9085872576177287	2.9085872576177287	97.09141274238226	2.9025653378297	100.0	0.03613151872817054	0.0	0.0
SRR25266140	67180.0	0.0	67180.0	1.0	33590.0	33590.0	3436.0	3436.0	63744.0	3424.0	67180.0	130.0	0.0	0.0	0.0	23.0	9007179.0	4512529.0	4494650.0	467443.0	462138.0	0.0	16450.0	524.0	0.00113386	134.0	134.0	134.0	151.0	151.0	151.0	37.3	255.0	159.5	1458.0	260.0	0.0	0.0	5.1	5.114617445668354	5.114617445668354	94.88538255433164	5.096754986603156	100.0	0.1935099732063114	0.0	0.0
SRR25266141	37496.0	0.0	37496.0	1.0	18748.0	18748.0	974.0	970.0	36522.0	962.0	37496.0	8.0	0.0	0.0	0.0	2.0	4805283.0	2453122.0	2352161.0	125123.0	123642.0	0.0	906.0	500.0	0.004043933	128.0	131.0	125.0	151.0	151.0	151.0	34.8	211.7	127.2	388.0	95.0	2.0	0.0	2.6	2.5976104117772563	2.586942607211436	97.40238958822275	2.5656069980797955	100.0	0.02133560913164071	0.0	0.0
SRR25266142	111166.0	0.0	111166.0	1.0	55583.0	55583.0	5108.0	5106.0	106058.0	4944.0	111166.0	219.0	0.0	0.0	0.0	243.0	14964150.0	7497119.0	7467031.0	691768.0	673409.0	0.0	28091.0	1085.0	0.001611205	134.0	135.0	134.0	151.0	151.0	151.0	37.3	279.6	244.6	2134.0	416.0	3.0	0.0	4.4	4.594930104528363	4.593130993289315	95.40506989547164	4.447402982926434	100.0	0.19700268067574617	0.0	0.0
SRR25266143	69818.0	0.0	69818.0	1.0	34909.0	34909.0	4546.0	4542.0	65272.0	4512.0	69818.0	192.0	0.0	0.0	0.0	38.0	9471408.0	4743004.0	4728404.0	616079.0	607237.0	0.0	25070.0	821.0	0.001352026	135.0	136.0	135.0	151.0	151.0	151.0	37.4	261.0	166.3	1911.0	359.0	1.0	0.0	6.5	6.5112148729553985	6.505485691368988	93.48878512704461	6.4625168294709106	100.0	0.2750007161476983	0.0	0.0
