Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR25266138_2	SRR25266138_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11144.0	0.0	35-151	44.0	66.62778176597271	132.04791816223977	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
SRR25266139_1	SRR25266139_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16924.0	0.0	35-151	44.0	46.141574095958404	130.3836563460175	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266139_2	SRR25266139_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16924.0	0.0	35-151	44.0	47.311510281257384	130.3760340345072	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR25266140_1	SRR25266140_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34170.0	0.0	35-151	44.0	35.99648814749781	133.41445712613404	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266140_2	SRR25266140_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34170.0	0.0	35-151	44.0	37.36318407960199	133.43585016095992	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266141_1	SRR25266141_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19417.0	0.0	35-151	43.0	46.64984292115157	130.82659525158365	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR25266141_2	SRR25266141_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19417.0	0.0	35-151	44.0	60.52943297110779	131.31673275995263	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR25266142_1	SRR25266142_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56663.0	0.0	35-151	44.0	31.945008206413355	133.9245186453241	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266142_2	SRR25266142_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56663.0	0.0	35-151	44.0	33.23156204224979	133.94673773008842	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266143_1	SRR25266143_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35541.0	0.0	35-151	44.0	39.79910525871529	134.9247066767958	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
