Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR25266129_1	58.662225922842076	45.0	136.06039411601444	27.27272727272727	18015.0
SRR25266129_2	56.092145434360255	45.0	136.04401887316126	27.27272727272727	18015.0
SRR25266130_1	53.403294834965116	45.0	132.65539074866624	27.27272727272727	17057.0
SRR25266130_2	52.30110804948115	45.0	132.72961247581637	27.27272727272727	17057.0
SRR25266131_1	65.9053119803973	44.0	136.48505002771213	27.27272727272727	34281.0
SRR25266131_2	63.94212537557247	44.0	136.4726233190397	18.181818181818183	34281.0
SRR25266132_1	39.37562940584088	43.0	132.79534519413673	0.0	8937.0
SRR25266132_2	38.983999104845026	43.0	132.76502181940248	9.090909090909092	8937.0
SRR25266133_1	60.70714285714286	44.0	137.26460714285713	18.181818181818183	28000.0
SRR25266133_2	59.042857142857144	44.0	137.27885714285713	27.27272727272727	28000.0
SRR25266134_1	50.56893749076401	44.0	132.21811733412147	27.27272727272727	13534.0
SRR25266134_2	50.56893749076401	44.0	132.27973991428993	27.27272727272727	13534.0
SRR25266135_1	52.841644271921965	46.0	131.0291629342092	18.181818181818183	10047.0
SRR25266135_2	52.403702597790385	46.0	131.06280481735843	27.27272727272727	10047.0
SRR25266136_1	77.79774451427406	45.0	135.78334903690177	27.27272727272727	102949.0
SRR25266136_2	75.29650603696976	45.0	135.80946876608806	27.27272727272727	102949.0
SRR25266137_1	61.12023898431666	45.0	131.77710978342046	27.27272727272727	26780.0
SRR25266137_2	60.38088125466766	45.0	131.82587752053772	27.27272727272727	26780.0
SRR25266138_1	38.64860014357502	44.0	132.0134601579325	9.090909090909092	11144.0
SRR25266138_2	33.37221823402729	44.0	132.04791816223977	18.181818181818183	11144.0
SRR25266139_1	53.858425904041596	44.0	130.3836563460175	27.27272727272727	16924.0
SRR25266139_2	52.688489718742616	44.0	130.3760340345072	18.181818181818183	16924.0
SRR25266140_1	64.00351185250219	44.0	133.41445712613404	27.27272727272727	34170.0
SRR25266140_2	62.63681592039801	44.0	133.43585016095992	27.27272727272727	34170.0
SRR25266141_1	53.35015707884843	43.0	130.82659525158365	18.181818181818183	19417.0
SRR25266141_2	39.47056702889221	44.0	131.31673275995263	9.090909090909092	19417.0
SRR25266142_1	68.05499179358665	44.0	133.9245186453241	27.27272727272727	56663.0
SRR25266142_2	66.76843795775021	44.0	133.94673773008842	27.27272727272727	56663.0
SRR25266143_1	60.20089474128471	44.0	134.9247066767958	9.090909090909092	35541.0
SRR25266143_2	58.71528657043977	44.0	134.90824681353928	18.181818181818183	35541.0
